,ID,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,CIUDAD,D_Marzo,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,M_MOROSO,MONTO,FUGA,FUGA_COD,CIUDAD_COD,log_RENTA,log_MONTO,RATIO_DEUDA,IS_SANTIAGO,IS_ARICA,IS_CONCEPCION,IS_COD_OFI_27,IS_COD_OFI_31,IS_COD_OFI_55,IS_COD_OFI_90,IS_COD_OFI_138,IS_COD_COM_1,IS_COD_COM_88,IS_COD_COM_89,IS_COD_COM_90,IS_COD_COM_119,IS_COD_COM_226,IS_MONTO_8M,SEGURO_NO,SEGURO_SI,GENERO_F,GENERO_M,NIV_EDUC_COD_COL,NIV_EDUC_COD_UNV,E_CIVIL_COD_CAS,E_CIVIL_COD_SOL
2050,2051,796163,41.0,MED,CAS,102,90.0,SANTIAGO,0,251836,0,850531,468,0,102,1,3200000,NO FUGA,0,SANTIAGO,13.587560473755977,14.978661680269907,0.19790240368940962,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
2051,2052,62163,53.0,MED,CAS,27,226.0,CONCEPCION,0,30610,0,0,260,7020,0,1,4100000,FUGA,1,CONCEPCION,11.037531333035503,15.226497775576945,0.08707752199861654,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
2053,2054,550636,53.0,MED,CAS,27,226.0,CONCEPCION,733639,200178,0,0,974,0,106,1,2900000,FUGA,1,CONCEPCION,13.21883106885168,14.88022163978423,0.2425501731504245,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
2054,2055,188874,47.0,UNV,CAS,138,1.0,ARICA,0,197488,0,16263,204,0,104,1,1700000,FUGA,1,ARICA,12.148840699575041,14.346139397261565,0.1619068797187543,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
2055,2056,247499,40.0,MED,CAS,27,226.0,CONCEPCION,0,449339,0,0,3,0,0,1,5100000,FUGA,1,CONCEPCION,12.419165860990882,15.444751293772967,0.25936208688866275,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0
2056,2057,232619,50.0,UNV,SOL,138,1.0,ARICA,0,68673,0,0,61,0,0,1,2600000,FUGA,1,ARICA,12.35716149989303,14.77102238760702,0.042211881721981925,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
2057,2058,799431,51.0,MED,SOL,90,86.0,SANTIAGO,0,298255,0,0,59,2022,0,1,4000000,NO FUGA,0,SANTIAGO,13.591656754480697,15.201805169084134,0.053669779773721206,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2058,2059,21014,35.0,TEC,SOL,29,90.0,SANTIAGO,316919,131118,0,0,19,0,0,1,1900000,NO FUGA,0,SANTIAGO,9.952991747439217,14.45736497045232,3.0459761519531194,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
2059,2060,26057,38.0,TEC,SOL,122,90.0,SANTIAGO,0,0,0,0,0,0,9,0,3800000,NO FUGA,0,SANTIAGO,10.168080101762877,15.150511887854474,5.482486197840997e-05,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1
2060,2061,81033,43.0,UNV,CAS,138,1.0,ARICA,0,126206,0,0,748,0,0,2,4500000,FUGA,1,ARICA,11.302624098669314,15.319588176962746,0.22381534154515534,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
